key,ylat,ylon,xlat,xlon,rssi,snr,freq,datarate,valid,distance
0,41.748064335275835,-73.65957616123364,41.73457249840906,-73.69209059361106,-80,11.800000190734863,904.0999755859375,SF9BW125,True,3086.7832673508183
0,41.748064335275835,-73.65957616123364,41.765272324425915,-73.63363205836289,-83,11.5,904.0999755859375,SF9BW125,True,2879.681278803986
0,41.748064335275835,-73.65957616123364,41.728785271725236,-73.7058095561649,-91,11.0,904.0999755859375,SF9BW125,True,4394.474207429609
1,38.22912943816085,21.76242813950292,38.22087143978757,21.794480257389644,-106,1.2000000476837158,867.9000244140625,SF12BW125,True,2946.592328392568
1,38.22912943816085,21.76242813950292,38.194222299436085,21.723212824364328,-109,-0.20000000298023224,867.9000244140625,SF12BW125,True,5177.35766157591
1,38.22912943816085,21.76242813950292,38.21645510338653,21.751417086765994,-111,3.200000047683716,867.9000244140625,SF12BW125,True,1706.2855903974305
2,37.56966228478322,-77.48276335946383,37.57364449249086,-77.48738846290212,-100,1.0,905.0999755859375,SF9BW125,True,601.8540354227595
2,37.56966228478322,-77.48276335946383,37.56732097972018,-77.47934624748733,-104,0.20000000298023224,905.0999755859375,SF9BW125,True,398.0973297832111
2,37.56966228478322,-77.48276335946383,37.562790512919115,-77.4725709029087,-107,-5.800000190734863,905.0999755859375,SF9BW125,True,1179.3608867775738
3,51.91209266608244,8.411511435131075,51.904937103565594,8.41458894956945,-116,-0.800000011920929,867.2999877929688,SF12BW125,True,823.1941523347878
3,51.91209266608244,8.411511435131075,51.99931022805745,8.511900355632164,-123,-2.200000047683716,867.2999877929688,SF12BW125,True,11890.280296163548
3,51.91209266608244,8.411511435131075,52.01794946766221,8.504811552713887,-123,-3.200000047683716,867.2999877929688,SF12BW125,True,13394.422592110104
4,29.70155637517261,-98.10528892706627,29.70315637494918,-98.15285270741153,-90,3.200000047683716,904.2999877929688,SF9BW125,True,4597.404996620948
4,29.70155637517261,-98.10528892706627,29.699119303644277,-98.11095363725518,-94,8.800000190734863,904.2999877929688,SF9BW125,True,610.5706124554205
4,29.70155637517261,-98.10528892706627,29.695727284408104,-98.11676264915297,-113,0.800000011920929,904.2999877929688,SF9BW125,True,1283.8618982935122
5,43.07905449129924,25.650673731173683,43.07905449129924,25.650673731173683,-103,2.0,868.5,SF12BW125,True,0.0
5,43.07905449129924,25.650673731173683,43.08137973139184,25.620655886232086,-105,2.0,868.5,SF12BW125,True,2451.6218476208937
5,43.07905449129924,25.650673731173683,43.08197566870488,25.547432065309575,-115,0.800000011920929,868.5,SF12BW125,True,8391.193347695755
6,44.463202497700685,26.126733065274916,44.45556458995625,26.16927434418344,-95,2.0,867.2999877929688,SF12BW125,True,3481.476698422664
6,44.463202497700685,26.126733065274916,44.50312528768332,26.050487472898258,-96,2.0,867.2999877929688,SF12BW125,True,7502.9579344515605
