Zeitstempel,node_lng,node_lat,hotspot_channel,hotspot_frequency,hotspot_hold_time,hotspot_id,hotspot_lat,hotspot_long,hotspot_name,hotspot_reported_at,hotspot_rssi,hotspot_snr,hotspot_spreading,hotspot_status,type,uuid,id,name,fcnt,reported_at,port,devaddr
24.12.2022 11:35:00,12.1748,47.5899,7,868.5,0,112YTuN46vC7YCFnoUDGVPfUz3pMDNSJXwcmiJGo5izGwzZxo61o,47.59136984382645,12.169709244076945,calm-orchid-snake,1671878097167,-109,-3.0,SF7BW125,success,uplink,685cb2c0-0e5f-490f-b6f6-09eb385873c1,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,188,24.12.2022 11:34:57,3,01000048
24.12.2022 11:36:00,12.1719,47.5919,5,868.0999755859375,0,112YTuN46vC7YCFnoUDGVPfUz3pMDNSJXwcmiJGo5izGwzZxo61o,47.59136984382645,12.169709244076945,calm-orchid-snake,1671878157408,-115,-7.0,SF7BW125,success,uplink,3ad36973-8779-42c7-b97a-31114976f2e4,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,189,24.12.2022 11:35:57,3,01000048
24.12.2022 11:37:00,12.1722,47.5921,6,868.2999877929688,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878217730,-110,6.5,SF7BW125,success,uplink,b1f3ba7b-a6b6-4ea8-97d5-80922eb9690d,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,190,24.12.2022 11:36:57,3,01000048
24.12.2022 11:37:59,12.1722,47.5921,5,868.0999755859375,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878276812,-103,9.199999809265137,SF7BW125,success,uplink,51f1934b-58f5-4ef5-b367-5ed3eee7528a,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,191,24.12.2022 11:37:56,3,01000048
24.12.2022 11:38:59,12.1722,47.5921,6,868.2999877929688,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878336808,-104,10.199999809265137,SF7BW125,success,uplink,a7730cfc-35a7-477f-a80f-f15962545209,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,192,24.12.2022 11:38:56,3,01000048
24.12.2022 11:39:59,12.1722,47.5921,7,868.5,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878396787,-114,3.0,SF7BW125,success,uplink,189df64e-cd11-43b7-90fd-e46054e416e6,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,193,24.12.2022 11:39:56,3,01000048
24.12.2022 11:41:00,12.1722,47.5921,6,868.2999877929688,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878456806,-108,8.0,SF7BW125,success,uplink,c9498b61-23ac-483d-89ff-651c87a71c6e,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,194,24.12.2022 11:40:56,3,01000048
24.12.2022 11:41:59,12.1722,47.5921,7,868.5,0,112YTuN46vC7YCFnoUDGVPfUz3pMDNSJXwcmiJGo5izGwzZxo61o,47.59136984382645,12.169709244076945,calm-orchid-snake,1671878516780,-111,-8.199999809265137,SF7BW125,success,uplink,5e3128f9-9e28-4a46-b867-7b612a1304a0,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,195,24.12.2022 11:41:56,3,01000048
24.12.2022 11:44:00,12.1722,47.5921,7,868.5,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878636829,-111,6.0,SF7BW125,success,uplink,6a97a64e-2937-49d2-8fb5-d62ccd538cb3,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,197,24.12.2022 11:43:56,3,01000048
24.12.2022 11:44:59,12.1722,47.5921,5,868.0999755859375,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878696777,-112,4.800000190734863,SF7BW125,success,uplink,8a3d8f16-75da-4f3b-9c51-29589a69eed8,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,198,24.12.2022 11:44:56,3,01000048
